,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,1,1,GoogleNet,conv1,590827,2482957.268816038,56
1,32,32,1,1,GoogleNet,conv2_3x3_reduce,161827,401605.9674664961,14
2,32,32,1,1,GoogleNet,conv2_3x3,522985,2123134.115963392,42
3,32,32,1,1,GoogleNet,inception_3a_1x1,50435,140538.511536128,84
4,32,32,1,1,GoogleNet,inception_3a_3x3_reduce,68924,195474.200220672,126
5,32,32,1,1,GoogleNet,inception_3a_3x3,103271,469191.589883392,14
6,32,32,1,1,GoogleNet,inception_3a_5x5_reduce,22701,63161.72408883201,42
7,32,32,1,1,GoogleNet,inception_3a_5x5,21649,77278.99064576,7
8,32,32,1,1,GoogleNet,inception_3a_pool_proj,31945,85625.806455808,84
9,32,32,1,1,GoogleNet,inception_3b_1x1,92630,279695.349772288,224
10,32,32,1,1,GoogleNet,inception_3b_3x3_reduce,92630,279695.349772288,224
11,32,32,1,1,GoogleNet,inception_3b_3x3,213908,955679.357865984,42
12,32,32,1,1,GoogleNet,inception_3b_5x5_reduce,36614,100590.971610112,56
13,32,32,1,1,GoogleNet,inception_3b_5x5,68778,312314.24886272,21
14,32,32,1,1,GoogleNet,inception_3b_pool_proj,55285,160476.29983129603,448
15,32,32,1,1,GoogleNet,inception_4a_1x1,56842,184611.93901056,12
16,32,32,1,1,GoogleNet,inception_4a_3x3_reduce,25985,83531.48489088,315
17,32,32,1,1,GoogleNet,inception_4a_3x3,50893,217823.60388044803,7
18,32,32,1,1,GoogleNet,inception_4a_5x5_reduce,11340,33011.47055744001,15
19,32,32,1,1,GoogleNet,inception_4a_5x5,14004,33446.61863872,1
20,32,32,1,1,GoogleNet,inception_4a_pool_proj,20127,61978.14171776001,30
21,32,32,1,1,GoogleNet,inception_4b_1x1,50526,164123.41902336,10
22,32,32,1,1,GoogleNet,inception_4b_3x3_reduce,29795,101523.424709504,112
23,32,32,1,1,GoogleNet,inception_4b_3x3,54142,244047.75752985603,7
24,32,32,1,1,GoogleNet,inception_4b_5x5_reduce,13433,38736.831409344,16
