,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,7,7,GoogleNet,conv1,84405,1644912.635653798,8
1,32,32,7,7,GoogleNet,conv2_3x3_reduce,23119,380905.740783616,2
2,32,32,7,7,GoogleNet,conv2_3x3,66241,1430807.1834833922,6
3,32,32,7,7,GoogleNet,inception_3a_1x1,8549,125612.231487488,12
4,32,32,7,7,GoogleNet,inception_3a_3x3_reduce,11863,173084.780147712,18
5,32,32,7,7,GoogleNet,inception_3a_3x3,24246,310211.836632832,4
6,32,32,7,7,GoogleNet,inception_3a_5x5_reduce,3916,55498.954076672,6
7,32,32,7,7,GoogleNet,inception_3a_5x5,4550,61075.58226176,1
8,32,32,7,7,GoogleNet,inception_3a_pool_proj,5237,78139.68282726401,6
9,32,32,7,7,GoogleNet,inception_3b_1x1,15538,296761.53283865604,32
10,32,32,7,7,GoogleNet,inception_3b_3x3_reduce,15538,296761.53283865604,32
11,32,32,7,7,GoogleNet,inception_3b_3x3,29286,522718.098238464,6
12,32,32,7,7,GoogleNet,inception_3b_5x5_reduce,6127,90640.118244352,8
13,32,32,7,7,GoogleNet,inception_3b_5x5,17149,219024.99855872,3
14,32,32,7,7,GoogleNet,inception_3b_pool_proj,9690,140390.72426598403,16
15,32,32,7,7,GoogleNet,inception_4a_1x1,7645,124400.91056256,90
16,32,32,7,7,GoogleNet,inception_4a_3x3_reduce,4973,71783.93470848,45
17,32,32,7,7,GoogleNet,inception_4a_3x3,10680,172859.609714176,7
18,32,32,7,7,GoogleNet,inception_4a_5x5_reduce,2041,28621.170817280003,15
19,32,32,7,7,GoogleNet,inception_4a_5x5,2090,27646.45402048,1
20,32,32,7,7,GoogleNet,inception_4a_pool_proj,3716,54244.94275712001,30
21,32,32,7,7,GoogleNet,inception_4b_1x1,6791,110599.51513728,80
22,32,32,7,7,GoogleNet,inception_4b_3x3_reduce,6049,84283.45114918401,16
23,32,32,7,7,GoogleNet,inception_4b_3x3,11811,190443.16433587205,7
24,32,32,7,7,GoogleNet,inception_4b_5x5_reduce,2368,34333.151825088,16
25,32,32,7,7,GoogleNet,inception_4b_5x5,3068,42553.66480032,2
26,32,32,7,7,GoogleNet,inception_4b_pool_proj,3878,56506.65972172801,32
27,32,32,7,7,GoogleNet,inception_4c_1x1,6474,92568.563332096,64
28,32,32,7,7,GoogleNet,inception_4c_3x3_reduce,6474,92568.563332096,64
29,32,32,7,7,GoogleNet,inception_4c_3x3,14040,234643.908831232,32
30,32,32,7,7,GoogleNet,inception_4c_5x5_reduce,2368,34333.151825088,16
31,32,32,7,7,GoogleNet,inception_4c_5x5,3068,42553.66480032,2
32,32,32,7,7,GoogleNet,inception_4c_pool_proj,3878,56506.65972172801,32
33,32,32,7,7,GoogleNet,inception_4d_1x1,6049,84283.45114918401,16
34,32,32,7,7,GoogleNet,inception_4d_3x3_reduce,6464,102314.402954368,16
35,32,32,7,7,GoogleNet,inception_4d_3x3,17453,284704.245163008,9
36,32,32,7,7,GoogleNet,inception_4d_5x5_reduce,2581,38475.707916544,16
37,32,32,7,7,GoogleNet,inception_4d_5x5,3645,49845.82754176,2
38,32,32,7,7,GoogleNet,inception_4d_pool_proj,3878,56506.65972172801,32
39,32,32,7,7,GoogleNet,inception_4e_1x1,10348,169905.846640384,34
40,32,32,7,7,GoogleNet,inception_4e_3x3_reduce,7011,114337.11166336,85
41,32,32,7,7,GoogleNet,inception_4e_3x3,20041,337581.2728832,50
42,32,32,7,7,GoogleNet,inception_4e_5x5_reduce,2655,39450.083543936,1
43,32,32,7,7,GoogleNet,inception_4e_5x5,6000,94763.00852096,4
44,32,32,7,7,GoogleNet,inception_4e_pool_proj,5882,95814.200004352,68
45,32,32,7,7,GoogleNet,inception_5a_1x1,4523,97304.941055872,208
46,32,32,7,7,GoogleNet,inception_5a_3x3_reduce,3022,63930.218973760006,5
47,32,32,7,7,GoogleNet,inception_5a_3x3,7699,156374.22345644,5
48,32,32,7,7,GoogleNet,inception_5a_5x5_reduce,1204,19430.589530944,26
49,32,32,7,7,GoogleNet,inception_5a_5x5,2107,45688.817752,4
50,32,32,7,7,GoogleNet,inception_5a_pool_proj,2522,52805.311613056,4
51,32,32,7,7,GoogleNet,inception_5b_1x1,6524,141804.570498688,312
52,32,32,7,7,GoogleNet,inception_5b_3x3_reduce,3523,75055.126334464,156
53,32,32,7,7,GoogleNet,inception_5b_3x3,10622,214157.72759915,3
54,32,32,7,7,GoogleNet,inception_5b_5x5_reduce,1636,25289.753472416,26
55,32,32,7,7,GoogleNet,inception_5b_5x5,2839,64258.903204,12
56,32,32,7,7,GoogleNet,inception_5b_pool_proj,2522,52805.311613056,4
57,32,32,7,7,GoogleNet,fc,13206,222532.548056242,32
58,32,32,7,7,RESNET-50,conv1,84405,1644912.635653798,8
59,32,32,7,7,RESNET-50,conv2_1_a,23119,380905.740783616,2
60,32,32,7,7,RESNET-50,conv2_1_b,24979,524007.228784128,28
61,32,32,7,7,RESNET-50,conv2_1_c,84784,1424326.065496064,16
62,32,32,7,7,RESNET-50,conv2_2_a,30965,548669.662978048,112
63,32,32,7,7,RESNET-50,conv2_2_b,24979,524007.228784128,28
64,32,32,7,7,RESNET-50,conv2_2_c,84784,1424326.065496064,16
65,32,32,7,7,RESNET-50,conv2_3_a,30965,548669.662978048,112
66,32,32,7,7,RESNET-50,conv2_3_b,24979,524007.228784128,28
67,32,32,7,7,RESNET-50,conv2_3_c,84784,1424326.065496064,16
68,32,32,7,7,RESNET-50,conv3_1_a,17394,291314.727586208,1568
69,32,32,7,7,RESNET-50,conv3_1_b,28675,359431.28007577604,8
70,32,32,7,7,RESNET-50,conv3_1_c,43125,743556.616892416,16
71,32,32,7,7,RESNET-50,conv3_2_a,18902,400490.776941312,64
72,32,32,7,7,RESNET-50,conv3_2_b,28675,359431.28007577604,8
73,32,32,7,7,RESNET-50,conv3_2_c,43125,743556.616892416,16
74,32,32,7,7,RESNET-50,conv3_3_a,18902,400490.776941312,64
75,32,32,7,7,RESNET-50,conv3_3_b,28675,359431.28007577604,8
76,32,32,7,7,RESNET-50,conv3_3_c,43125,743556.616892416,16
77,32,32,7,7,RESNET-50,conv3_4_a,18902,400490.776941312,64
78,32,32,7,7,RESNET-50,conv3_4_b,28675,359431.28007577604,8
79,32,32,7,7,RESNET-50,conv3_4_c,43125,743556.616892416,16
80,32,32,7,7,RESNET-50,conv4_1_a,10737,181288.868179968,1792
81,32,32,7,7,RESNET-50,conv4_1_b,22837,388011.064510464,64
82,32,32,7,7,RESNET-50,conv4_1_c,24492,461271.113242624,32
83,32,32,7,7,RESNET-50,conv4_2_a,14910,248107.987953664,64
84,32,32,7,7,RESNET-50,conv4_2_b,22837,388011.064510464,64
85,32,32,7,7,RESNET-50,conv4_2_c,24492,461271.113242624,32
86,32,32,7,7,RESNET-50,conv4_3_a,14910,248107.987953664,64
87,32,32,7,7,RESNET-50,conv4_3_b,22837,388011.064510464,64
88,32,32,7,7,RESNET-50,conv4_3_c,24492,461271.113242624,32
89,32,32,7,7,RESNET-50,conv4_4_a,14910,248107.987953664,64
90,32,32,7,7,RESNET-50,conv4_4_b,22837,388011.064510464,64
91,32,32,7,7,RESNET-50,conv4_4_c,24492,461271.113242624,32
92,32,32,7,7,RESNET-50,conv4_5_a,14910,248107.987953664,64
93,32,32,7,7,RESNET-50,conv4_5_b,22837,388011.064510464,64
94,32,32,7,7,RESNET-50,conv4_5_c,24492,461271.113242624,32
95,32,32,7,7,RESNET-50,conv4_6_a,14910,248107.987953664,64
96,32,32,7,7,RESNET-50,conv4_6_b,22837,388011.064510464,64
97,32,32,7,7,RESNET-50,conv4_6_c,24492,461271.113242624,32
98,32,32,7,7,RESNET-50,conv5_1_a,9899,231686.995311616,896
99,32,32,7,7,RESNET-50,conv5_1_b,33603,703579.429247692,8
100,32,32,7,7,RESNET-50,conv5_1_c,23962,505781.965966336,1024
101,32,32,7,7,RESNET-50,conv5_2_a,17235,399200.403321856,256
102,32,32,7,7,RESNET-50,conv5_2_b,33603,703579.429247692,8
103,32,32,7,7,RESNET-50,conv5_2_c,23962,505781.965966336,1024
104,32,32,7,7,RESNET-50,conv5_3_a,17235,399200.403321856,256
105,32,32,7,7,RESNET-50,conv5_3_b,33603,703579.429247692,8
106,32,32,7,7,RESNET-50,conv5_3_c,23962,505781.965966336,1024
107,32,32,7,7,Tiny-YOLO,conv0,289253,5142187.194868668,104
108,32,32,7,7,Tiny-YOLO,conv1,148173,2568143.8037137925,13
109,32,32,7,7,Tiny-YOLO,conv2,74674,1383302.265286208,26
110,32,32,7,7,Tiny-YOLO,conv3,40780,862065.919761152,104
111,32,32,7,7,Tiny-YOLO,conv4,33529,568100.9899202561,8
112,32,32,7,7,Tiny-YOLO,conv5,40217,532126.174966784,128
