,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,32,15,15,GoogleNet,conv1,41164,1562762.4386330105,4
1,32,32,15,15,GoogleNet,conv2_3x3_reduce,12676,413640.90552832,4
2,32,32,15,15,GoogleNet,conv2_3x3,33646,1512628.9375910405,6
3,32,32,15,15,GoogleNet,inception_3a_1x1,4569,143219.84987136,12
4,32,32,15,15,GoogleNet,inception_3a_3x3_reduce,6339,197227.46565504,18
5,32,32,15,15,GoogleNet,inception_3a_3x3,12961,347184.01234944,4
6,32,32,15,15,GoogleNet,inception_3a_5x5_reduce,2096,63064.92494784,6
7,32,32,15,15,GoogleNet,inception_3a_5x5,2430,69166.510064,1
8,32,32,15,15,GoogleNet,inception_3a_pool_proj,2800,89212.23408768,6
9,32,32,15,15,GoogleNet,inception_3b_1x1,8981,272778.51178496,32
10,32,32,15,15,GoogleNet,inception_3b_3x3_reduce,8981,272778.51178496,32
11,32,32,15,15,GoogleNet,inception_3b_3x3,22407,582289.83307008,12
12,32,32,15,15,GoogleNet,inception_3b_5x5_reduce,3276,103399.24625024,8
13,32,32,15,15,GoogleNet,inception_3b_5x5,9173,245599.504992,3
14,32,32,15,15,GoogleNet,inception_3b_pool_proj,5177,159859.00142848,16
15,32,32,15,15,GoogleNet,inception_4a_1x1,4090,144498.89567519998,90
16,32,32,15,15,GoogleNet,inception_4a_3x3_reduce,2624,83250.89105759999,45
17,32,32,15,15,GoogleNet,inception_4a_3x3,5704,202197.95642592,7
18,32,32,15,15,GoogleNet,inception_4a_5x5_reduce,1087,32746.1989296,15
19,32,32,15,15,GoogleNet,inception_4a_5x5,1110,32098.5485256,1
20,32,32,15,15,GoogleNet,inception_4a_pool_proj,1964,62834.8895184,30
21,32,32,15,15,GoogleNet,inception_4b_1x1,3635,128467.4872784,80
22,32,32,15,15,GoogleNet,inception_4b_3x3_reduce,3190,97539.16392368,16
23,32,32,15,15,GoogleNet,inception_4b_3x3,6306,222893.18943024,7
24,32,32,15,15,GoogleNet,inception_4b_5x5_reduce,1258,39504.90638136,16
25,32,32,15,15,GoogleNet,inception_4b_5x5,1622,49915.2350004,2
26,32,32,15,15,GoogleNet,inception_4b_pool_proj,2049,65468.84223296,32
27,32,32,15,15,GoogleNet,inception_4c_1x1,3411,107467.93892992,64
28,32,32,15,15,GoogleNet,inception_4c_3x3_reduce,3411,107467.93892992,64
29,32,32,15,15,GoogleNet,inception_4c_3x3,7522,275054.56116864004,32
30,32,32,15,15,GoogleNet,inception_4c_5x5_reduce,1258,39504.90638136,16
31,32,32,15,15,GoogleNet,inception_4c_5x5,1622,49915.2350004,2
32,32,32,15,15,GoogleNet,inception_4c_pool_proj,2049,65468.84223296,32
33,32,32,15,15,GoogleNet,inception_4d_1x1,3190,97539.16392368,16
34,32,32,15,15,GoogleNet,inception_4d_3x3_reduce,3460,118538.71227216,16
35,32,32,15,15,GoogleNet,inception_4d_3x3,9323,333844.24939056,9
36,32,32,15,15,GoogleNet,inception_4d_5x5_reduce,1368,44469.29388448,16
37,32,32,15,15,GoogleNet,inception_4d_5x5,1923,58663.7474672,2
38,32,32,15,15,GoogleNet,inception_4d_pool_proj,2049,65468.84223296,32
39,32,32,15,15,GoogleNet,inception_4e_1x1,5540,197601.36589408,34
40,32,32,15,15,GoogleNet,inception_4e_3x3_reduce,3752,132852.0804208,85
41,32,32,15,15,GoogleNet,inception_4e_3x3,10739,396337.414296,50
42,32,32,15,15,GoogleNet,inception_4e_5x5_reduce,1408,45580.52153712,1
43,32,32,15,15,GoogleNet,inception_4e_5x5,3207,111166.6867312,4
44,32,32,15,15,GoogleNet,inception_4e_pool_proj,3148,111268.98526304,68
45,32,32,15,15,GoogleNet,inception_5a_1x1,2818,147225.07686784,52
46,32,32,15,15,GoogleNet,inception_5a_3x3_reduce,1944,97736.4235168,130
47,32,32,15,15,GoogleNet,inception_5a_3x3,4415,261199.262496,50
48,32,32,15,15,GoogleNet,inception_5a_5x5_reduce,899,31751.552382080004,26
49,32,32,15,15,GoogleNet,inception_5a_5x5,1423,68271.9076768,4
50,32,32,15,15,GoogleNet,inception_5a_pool_proj,1645,81240.20573312,104
51,32,32,15,15,GoogleNet,inception_5b_1x1,3999,213209.94800256,78
52,32,32,15,15,GoogleNet,inception_5b_3x3_reduce,2243,114232.64130048,156
53,32,32,15,15,GoogleNet,inception_5b_3x3,5946,362583.67601664,72
54,32,32,15,15,GoogleNet,inception_5b_5x5_reduce,1203,40370.81073312,26
55,32,32,15,15,GoogleNet,inception_5b_5x5,1815,94316.3776752,12
56,32,32,15,15,GoogleNet,inception_5b_pool_proj,1645,81240.20573312,104
57,32,32,15,15,GoogleNet,fc,6187,224552.30814521,32
58,32,32,15,15,RESNET-50,conv1,41164,1562762.4386330105,4
59,32,32,15,15,RESNET-50,conv2_1_a,12676,413640.90552832,4
60,32,32,15,15,RESNET-50,conv2_1_b,15758,680441.6737881601,7
61,32,32,15,15,RESNET-50,conv2_1_c,41665,1496193.12774272,56
62,32,32,15,15,RESNET-50,conv2_2_a,18222,683417.0764441601,32
