,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,32,64,7,14,GoogleNet,conv1,42351,1452508.597353226,7
1,64,32,7,14,GoogleNet,conv2_3x3_reduce,12456,375297.859055616,2
2,64,32,7,14,GoogleNet,conv2_3x3,33120,1279394.3768273925,6
3,64,32,7,14,GoogleNet,inception_3a_1x1,4275,121676.164671488,6
4,64,32,7,14,GoogleNet,inception_3a_3x3_reduce,5932,167180.679923712,9
5,64,32,7,14,GoogleNet,inception_3a_3x3,12877,276219.188440832,4
6,64,32,7,14,GoogleNet,inception_3a_5x5_reduce,1959,54187.337372672,3
7,64,32,7,14,GoogleNet,inception_3a_5x5,2331,57154.50680576001,1
8,64,32,7,14,GoogleNet,inception_3a_pool_proj,2619,76171.649419264,3
9,64,32,7,14,GoogleNet,inception_3b_1x1,8409,229395.758133248,16
10,64,32,7,14,GoogleNet,inception_3b_3x3_reduce,8409,229395.758133248,16
11,64,32,7,14,GoogleNet,inception_3b_3x3,21051,451868.8955504641,6
12,64,32,7,14,GoogleNet,inception_3b_5x5_reduce,3064,88016.07370035202,4
13,64,32,7,14,GoogleNet,inception_3b_5x5,9070,195498.54582272,3
14,64,32,7,14,GoogleNet,inception_3b_pool_proj,4846,135142.63517798402,8
15,32,32,14,14,GoogleNet,inception_4a_1x1,3823,129275.71420032,90
16,64,32,7,14,GoogleNet,inception_4a_3x3_reduce,2529,69374.28008448001,3
17,64,32,7,14,GoogleNet,inception_4a_3x3,5439,162237.876690176,7
18,64,32,7,14,GoogleNet,inception_4a_5x5_reduce,1035,28028.46171328,1
19,64,32,7,14,GoogleNet,inception_4a_5x5,1074,26433.88272448,1
20,64,32,7,14,GoogleNet,inception_4a_pool_proj,1887,52638.50634112,2
21,32,32,14,14,GoogleNet,inception_4b_1x1,3396,114932.6739264,80
22,64,32,7,14,GoogleNet,inception_4b_3x3_reduce,3025,80732.247437184,8
23,64,32,7,14,GoogleNet,inception_4b_3x3,5906,177007.009967872,7
24,64,32,7,14,GoogleNet,inception_4b_5x5_reduce,1185,33509.779601088005,8
25,64,32,7,14,GoogleNet,inception_4b_5x5,1563,40456.12220832,2
26,64,32,7,14,GoogleNet,inception_4b_pool_proj,1940,54602.200457728,16
27,64,32,7,14,GoogleNet,inception_4c_1x1,3237,88759.644804096,32
28,64,32,7,14,GoogleNet,inception_4c_3x3_reduce,3237,88759.644804096,32
29,64,32,7,14,GoogleNet,inception_4c_3x3,7080,217503.77545523195,16
30,64,32,7,14,GoogleNet,inception_4c_5x5_reduce,1185,33509.779601088005,8
